11207.json|53.2522307|18.6042458|Wrocławki|park_ogrod,dworski_palacowy_zamek||Park dworski
11585.json|52.7952408|18.2595624|Inowrocław|sakralny||Kościół par. p.w. św. Mikołaja
11586.json|52.7952408|18.2595624|Inowrocław|sakralny,katolicki||Kościół Imienia Najświętszej Maryi Panny
11592.json|52.7887258|18.2745066|Inowrocław|cmentarny,sakralny||Cmentarz rzym.-kat. par. p.w. św. Mikołaja
11593.json|52.800565|18.2559842|Inowrocław|cmentarny,sakralny,katolicki||Cmentarz rzym-kat. pw. Zwiastowania NMP
11597.json|52.796131|18.2586281|Inowrocław|mieszkalny||Kamienica
11598.json|52.7967616|18.2580744|Inowrocław|mieszkalny||Dom
11599.json|52.7971794|18.2573719|Inowrocław|mieszkalny||Dom
11603.json|52.7951627|18.2512925|Inowrocław|dworski_palacowy_zamek,mieszkalny||Dom, tzw. pałac mieszczański
11604.json|52.7925133|18.2631079|Inowrocław|||Budynek Towarzystwa Gimnastycznego "Sokół"
11605.json|52.7634568|18.2784431|Inowrocław|sportowy_kulturalny_edukacyjny,mieszkalny||Dom rodzinny Jana Kasprowiccza, ob. muzeum
70103.json|52.7967801|18.2599219|Inowrocław|sakralny||Kościół ewangelicki, ob. rzym.-kat. par. p.w. Św. Krzyża
70998.json|51.1208192|16.8753981551|Wrocław|sakralny||Kościół ewangelicki, ob. rzym.-kat. par. p.w. NMP Królowej Polski
71206.json|52.7549872|18.2551758|Inowrocław|sakralny||Kościół par. p.w. Opatrzności Bożej
72216.json|51.1552151|17.0655659|Wrocław|militarny||Fort piechoty z obwodem stanowisk strzeleckich
72484.json|51.17874|16.1619057481|Wrocław|||Zespół budynków d. piekarni WZS
72488.json|51.155051|16.8629463|Wrocław|||Wodociągowa wieża ciśnień
72675.json|51.1181365|17.0540001|Wrocław|mieszkalny||Kamienica
72676.json|51.114575|17.0481972|Wrocław|||Biskupi Konwikt Teologiczny Georgianum, ob. wyższe seminarium duchowne
72677.json|51.08021545|17.0064586314|Wrocław|mieszkalny||Willa
72978.json|51.1084408|17.0291732|Wrocław|mieszkalny||Kamienica
73225.json|51.1089776|17.0326689|Wrocław|sakralny||Zespół kościoła ewang. p.w. Jedenastu Tysięcy Dziewic, ob. rzym.-kat. p.w. Opieki …
73239.json|52.7956121|18.2509865|Inowrocław|mieszkalny||Kamienica
73452.json|51.17874|16.1619057481|Wrocław|mieszkalny||Kamienica - elewacje narożne z wieżą
73781.json|51.112428|17.0556329|Wrocław|mieszkalny||Kamienica
73984.json|51.0963517|17.0374783|Wrocław|||Gmach Dyrekcji Kolei Królewskich, ob. biurowiec PKP
74481.json|51.151312|17.1234944|Wrocław|||Nastawnia wschodnia (w zespole stacji kolejowej Psie Pole)
74484.json|51.1271192|17.0494042|Wrocław|mieszkalny||Kamienica
74487.json|51.0725282|17.0020652|Wrocław|mieszkalny||Kamienica
74488.json|51.115058|17.0604909|Wrocław|mieszkalny||Kamienica
74489.json|51.0780032|17.0083978|Wrocław|||Willla
74490.json|51.0891478|17.041066|Wrocław|mieszkalny||Kamienica
74493.json|51.0642796|17.080144697|Wrocław|||Zespół willi
75085.json|51.1346235|17.0148991|Wrocław|cmentarny||Zespół Cmentarza Osobowickiego
75095.json|51.1242472|17.0412256|Wrocław|||Zespół zajezdni tramwajowej OŁBIN
75100.json|51.1271591|16.9538618|Wrocław|||Budynek dworca Wrocław-Kuźniki
75101.json|51.1196824|16.9551819|Wrocław|||Zespół stacji kolejowej Wrocław-Żerniki
75106.json|51.1267232|17.0345238|Wrocław|budynek_gospodarczy||Zabudowa portu miejskiego
75578.json|51.0864533|17.0123993|Wrocław|mieszkalny||Kamienica
76210.json|51.1123898|17.0371621|Wrocław|sakralny,mieszkalny||Plebania kościoła pw. św. Wincentego, ob. plebania gr.-kat.
76211.json|51.1185325|17.0535284|Wrocław|mieszkalny||Dom dyrektorów d. Stadbauschule, ob. budynek administracyjny Politechniki Wrocławs…
76213.json|51.1175815|17.072483|Wrocław|mieszkalny||Dom  Stowarzyszenia Popierania Życia Zgodnego z Naturą
76216.json|51.0877946|17.0481317|Wrocław|budynek_gospodarczy,przemyslowy_poprzemyslowy||Budynek kotłowni kolejowej stacji Wrocław Główny
